case_id,symptom,topology_notes,show_outputs,expected_fault,osi_layer,concept,severity,expected_next_command,expected_fix
LAB-01,PC-A cannot reach PC-B in VLAN 20,Authored demo lab with two access switches,"show vlan brief: 10 active; 20 missing",VLAN 20 not created,Layer 2,VLAN,high,show vlan brief,Create VLAN 20 and assign access ports
LAB-02,VLAN 10 host cannot reach VLAN 30 server,Authored demo inter-VLAN lab,"PC gets IP; gateway ping works; show interfaces trunk: Gi0/1 trunking on allowed 10,20",VLAN 30 absent from trunk,Layer 2,Trunk,high,show interfaces trunk,Allow VLAN 30 on trunk
LAB-03,PC has APIPA address,Authored demo DHCP lab,"show ip dhcp binding: no bindings; interface Vlan10 up up",DHCP pool missing,Layer 7,DHCP,high,show running-config,Configure DHCP pool and default-router
LAB-04,Clients resolve no hostnames,Authored demo DNS lab,"ping 8.8.8.8 succeeds; nslookup server fails",DNS server unreachable or missing,Layer 7,DNS,medium,ipconfig /all,Set correct DNS server address
LAB-05,Branch cannot reach HQ LAN,Authored static route lab,"show ip route: Gateway of last resort is not set; network 10.20.0.0 not in table",Missing static route,Layer 3,Static routing,high,show ip route,Add route toward HQ next hop
LAB-06,OSPF branch route absent,Authored dynamic routing lab,"show ip route: 10.3.0.0 network not in table; show ip ospf neighbor: no neighbors",OSPF adjacency missing,Layer 3,Dynamic routing,high,show ip ospf neighbor,Match OSPF network and area configuration
LAB-07,Finance PC cannot access web,Authored ACL lab,"show access-lists: deny tcp 10.10.10.0 0.0.0.255 any eq 80",ACL blocks HTTP,Layer 3,ACL,high,show access-lists,Correct ACL permit sequence
LAB-08,Inside client has no internet,Authored NAT lab,"show ip nat translations: none; show running-config: ip nat inside missing",NAT inside interface missing,Layer 3,NAT,high,show running-config,Mark LAN interface ip nat inside
LAB-09,Wireless client cannot join SSID,Authored wireless lab,"show wireless: SSID Campus disabled",SSID disabled,Layer 2,Wireless,medium,show wireless,Enable SSID and verify security settings
LAB-10,PC on Fa0/5 cannot ping gateway,Authored switch lab,"show ip interface brief: FastEthernet0/5 administratively down down",Access interface shutdown,Layer 1,Interface,high,show ip interface brief,Issue no shutdown on Fa0/5
LAB-11,Router interface is down,Authored router lab,"show ip interface brief: GigabitEthernet0/0 administratively down down",Router port shutdown,Layer 1,Interface,high,show ip interface brief,Issue no shutdown on GigabitEthernet0/0
LAB-12,Trunk link carries only VLAN 10,Authored switch lab,"show interfaces trunk: Gi0/1 trunking on allowed 10",VLAN 20 omitted from allowed list,Layer 2,Trunk,medium,show interfaces trunk,Allow VLAN 20 on Gi0/1
